date,L_1,L_2,L_3,L_4,L_5,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39
9/8/2008,13,20,23,29,30,0,0,1,0,0,1,2,2,0,0,1,1,2,0,0,2,1,1,0,2,1,1,2,0,1,1,1,1,2,1,0,0,1,0,1,0,0,0,1
9/9/2008,22,25,29,38,39,2,2,0,1,0,0,0,1,0,0,0,2,0,0,1,1,0,1,1,0,0,3,0,0,1,1,0,0,1,1,0,1,3,1,0,0,3,1,2
9/10/2008,4,6,14,26,32,0,0,1,1,1,2,0,1,2,0,2,1,1,1,1,0,0,0,1,2,2,0,1,2,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0
9/11/2008,1,4,5,35,37,2,0,1,2,1,1,0,0,1,1,0,0,0,1,0,1,1,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,2
9/12/2008,19,24,27,36,38,1,0,1,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,0,2,2,1,0,1,2,0,1,1,1,0,1,0,2,2,0,1,1
9/13/2008,26,27,29,37,38,0,0,1,0,1,1,1,1,0,0,3,1,0,0,0,2,1,0,1,1,0,1,1,0,0,3,1,0,2,0,0,2,0,0,1,1,1,3,0
9/14/2008,1,4,8,11,33,3,3,1,1,1,0,1,2,0,0,2,0,2,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,3,1,0,0,1,0,1
9/15/2008,1,2,3,11,18,3,1,2,0,1,0,0,0,1,2,1,1,1,0,0,2,0,1,1,1,0,0,1,2,0,1,0,1,0,1,0,0,1,1,1,0,2,1,0
9/16/2008,1,9,19,21,34,1,0,0,1,0,0,0,0,3,1,0,1,1,0,3,1,0,1,3,0,1,1,0,0,0,3,1,0,0,0,1,0,0,2,1,1,2,1,0
9/17/2008,4,19,29,38,39,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,3,1,0,1,0,1,2,2,2,1,2,0,0,2,0,1,1,1,0,1,2
9/18/2008,7,12,19,34,36,0,1,0,0,0,1,1,0,3,1,0,2,1,0,0,1,1,1,3,0,0,0,1,0,1,0,0,0,2,0,0,3,0,3,0,1,1,2,0
9/19/2008,8,13,16,19,30,0,0,3,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,2,0,0,2,0,0,3,3,1,2,2,1,0,0,0,1,1
9/20/2008,17,20,28,31,33,0,1,0,0,0,1,0,0,0,0,1,1,2,0,1,0,1,0,1,1,2,1,0,2,0,0,1,1,1,2,2,1,2,0,1,2,1,1,0
9/21/2008,6,9,17,19,37,1,1,0,1,0,1,2,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,2,1,0,1,0,1,0,1,1,0,2,0,2,0,2
9/22/2008,1,8,23,29,32,1,0,0,0,3,0,0,2,1,1,1,0,1,0,1,0,0,1,0,2,1,0,2,1,1,0,1,1,2,1,1,3,0,0,0,0,0,2,0
9/23/2008,1,2,12,15,28,2,1,0,1,1,0,2,0,0,1,0,2,0,1,2,1,0,0,1,0,2,1,1,0,0,1,1,2,1,0,1,1,0,1,0,1,1,0,1
9/24/2008,2,10,24,35,37,2,2,0,1,0,0,1,0,2,1,0,0,0,0,0,1,1,1,1,2,1,2,1,2,0,1,1,1,0,0,0,1,0,1,1,1,2,0,0
9/25/2008,21,22,23,27,37,3,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,2,1,3,1,2,1,1,0,1,1,1,2,0,0,1,0,2,0,1
9/26/2008,12,19,32,35,39,1,0,0,1,0,1,0,1,0,0,0,2,1,0,0,1,0,2,1,0,1,1,0,0,0,0,2,0,0,2,1,4,1,2,2,0,2,0,1
9/27/2008,13,16,19,22,23,0,3,1,1,0,1,2,0,0,1,1,1,1,0,0,2,0,2,1,1,0,2,1,0,0,0,0,0,1,1,1,0,0,2,1,0,1,2,0
9/28/2008,6,7,9,12,34,1,0,0,0,1,2,2,1,1,2,1,1,1,1,0,2,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,2,2,0,0,0,0
9/29/2008,1,2,4,33,37,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,2,1,1,0,0,2,1,1,2,1,3,1,0,2,0,1
9/30/2008,18,27,34,35,39,1,2,2,0,0,1,0,1,1,2,2,1,0,2,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,2,1,0,2,1
10/1/2008,16,21,23,26,30,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0,2,0,0,2,0,2,0,1,0,0,1,1,3,2,2,2,1,1,0,1,0,0,1,0
10/2/2008,2,7,24,32,37,1,1,0,1,0,0,2,1,1,0,1,0,1,0,1,0,0,1,2,0,1,1,1,2,1,1,0,1,0,2,1,1,2,0,1,0,1,1,0
10/3/2008,18,29,31,35,39,0,1,0,0,1,1,1,0,1,0,0,2,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,4,0,2,1,2,1,2,1,0,0,1
10/4/2008,15,19,20,23,36,1,0,1,1,0,0,0,0,0,0,1,0,0,3,2,0,2,0,2,3,2,1,2,2,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0
10/5/2008,2,11,15,16,30,0,2,0,1,0,0,1,0,0,1,1,0,0,2,1,1,1,0,1,1,0,2,0,0,0,1,0,1,0,2,0,0,1,2,2,1,2,1,2
10/6/2008,7,13,20,21,29,0,0,1,1,0,1,1,0,0,1,0,2,1,1,0,0,1,0,1,2,4,2,1,0,1,1,0,0,2,0,0,0,0,1,1,1,0,2,1
10/7/2008,3,31,32,37,39,0,1,2,0,1,1,0,2,3,1,1,0,1,1,1,2,0,0,1,0,0,1,0,0,1,1,1,0,1,1,2,1,0,0,0,0,1,1,1
10/8/2008,2,15,16,31,32,1,2,0,1,0,2,0,0,0,0,1,2,0,1,2,1,1,1,1,0,0,0,0,0,0,0,2,1,2,0,2,1,1,3,1,0,0,1,0
10/9/2008,2,18,21,26,29,1,2,1,1,1,0,1,0,0,0,0,2,0,0,1,0,1,2,0,0,1,1,1,0,0,3,0,1,2,0,0,0,0,0,3,3,1,1,0
10/10/2008,3,11,28,31,35,1,0,2,1,0,1,1,2,0,1,2,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,2,2,1,0,1,1,1,1,1,1,0,0,1
10/11/2008,3,5,12,16,30,0,2,2,3,2,0,1,0,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,2,2,0,0,0,1,1,2,0,1,0
10/12/2008,2,4,7,13,33,1,3,0,1,1,1,2,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,2,0,1,0,2,2
10/13/2008,3,9,16,25,27,0,1,1,1,2,0,0,0,1,0,0,1,1,0,1,1,2,1,2,1,1,1,2,0,2,2,2,1,1,0,0,0,0,0,0,1,1,0,0
10/14/2008,4,9,10,15,36,2,0,0,1,1,0,1,1,3,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,2,0,1,2,0,0,2,0,0,1,0,2,0
10/15/2008,6,8,13,19,30,0,1,1,0,0,2,1,3,0,0,0,2,1,2,1,2,0,1,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,2,1,1,1,1,1
10/16/2008,2,8,13,15,32,0,2,1,2,0,0,1,2,0,1,1,1,1,0,2,1,0,1,0,0,1,0,0,0,1,1,2,1,0,0,0,2,1,1,0,1,1,1,1
10/17/2008,7,9,13,27,31,1,0,1,0,1,2,2,1,1,0,1,0,1,0,0,1,0,1,1,1,1,3,0,0,0,1,1,0,1,0,1,1,2,0,1,1,1,0,1
10/18/2008,2,17,26,33,36,1,1,0,2,0,0,3,1,1,1,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,1,0,0,1,1,3,0,1,0,1,1,1,1,1
10/19/2008,1,3,11,16,20,1,1,2,0,1,1,1,2,1,2,1,0,0,0,0,3,2,2,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,1
10/20/2008,9,11,13,17,20,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,2,0,2,1,1,1,0,0,0,0,3,0,1,0,2,4,0,0,0,0,2,1,0
10/21/2008,10,12,13,14,21,1,1,1,0,2,1,1,1,2,2,0,2,2,2,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,2,0,0,1,1,1,1,0,0,1
10/22/2008,23,27,32,34,35,0,0,0,0,0,0,1,1,0,3,1,0,1,1,1,0,1,0,1,0,0,3,1,1,0,0,1,1,3,0,1,2,0,1,1,1,1,0,2
10/23/2008,1,8,16,20,37,2,1,3,0,0,0,1,2,1,1,0,2,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,3,1,0
10/24/2008,7,22,24,30,33,1,0,1,2,0,0,2,0,2,0,1,2,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,2,0,2,1,2,2,0,1,0,1,0,1
10/25/2008,1,11,16,19,36,2,1,1,1,1,1,1,0,0,1,2,1,1,0,0,1,0,1,2,0,0,1,1,0,0,1,0,0,1,0,2,0,1,1,0,3,2,0,0
10/26/2008,6,15,25,29,36,0,1,1,0,1,2,1,0,1,0,0,2,2,1,2,1,1,0,0,1,1,1,0,0,1,0,0,0,3,2,1,0,1,0,1,1,0,1,0
